No,Title,Content
029,"§309-b. Uniform forms of certificates of acknowledgment or proof without this state.
","1.
The certificate of an acknowledgment, without this State, of a conveyance or other instrument with respect to real property situate in this State, by a person, may conform substantially with the following form, the blanks being properly filled:State, District of Columbia,        )
Territory, Possession, or           ) ss.:
Foreign Country                     )
On the . . . . . . day of . . . . . . in the year . . . . . . before me, the undersigned, personally appeared . . . . ., personally known to me or proved to me on the basis of satisfactory evidence to be the individual(s) whose name(s) is (are) subscribed to the within instrument and acknowledged to me that he/she/they executed the same in his/her/their capacity(ies), and that by his/her/their signature(s) on the instrument, the individual(s), or the person upon behalf of which the individual(s) acted, executed the instrument.
(Signature and office of individual taking acknowledgment.)

2.
The certificate for a proof of execution by a subscribing witness, without this State, of a conveyance or other instrument made by any person in respect to real property situate in this State, may conform substantially with the following form, the blanks being properly filled:
State, District of Columbia,        )
Territory, Possession, or           ) ss.:
Foreign Country                     )
On the . . . . . . day of . . . . . . in the year . . . . . . before me, the undersigned, personally appeared . . . . ., the subscribing witness to the foregoing instrument, with whom I am personally acquainted, who, being by me duly sworn, did depose and say that he/she resides in . . . . . . (if the place of residence is in a city, include the street and street number, if any, thereof); that he/she knows . . . . . . to be the individual described in and who executed the foregoing instrument; that said subscribing witness was present and saw said . . . . . . execute the same; and that said witness at the same time subscribed his/her name as a witness thereto.
(Signature and office of individual taking proof.)

3.
No provision of this section shall be construed to:

(a) modify the choice of laws afforded by §§299-a and 301-a of this article pursuant to which an acknowledgment or proof may be taken;
(b) modify any requirement of §307 of this article;
(c) modify any requirement for a seal imposed by subdivision one of §308 of this article;
(d) modify any requirement concerning a certificate of authentication imposed by §308, 311, 312, 314, or 318 of this article; or
(e) modify any requirement imposed by any provision of this article when the certificate of acknowledgment or proof purports to be taken in the manner prescribed by the laws of another state, the District of Columbia, territory, possession, or foreign country.

4.
A certificate of an acknowledgment or proof taken under §300 of this article shall include the additional information required by that section.

5.
For the purposes of this section, the term ?person? means a person as defined in subdivision 4 of §309-a of this article.

6.
The inclusion within the body (other than the jurat) of a certificate of acknowledgment or proof made under this section or the city or other political subdivision and the state or country or other place the acknowledgment was taken shall be deemed. A non-substantial variance from the form of a certificate authorized by this section."
030,"§330. Officers guilty of malfeasance liable for damages.
","An officer authorized to take the acknowledgment or proof of a conveyance or other instrument, or to certify such proof or acknowledgment, or to record the same, who is guilty of malfeasance or fraudulent practice in the execution of any duty prescribed by law in relation thereto, is liable in damages to the person injured."
031,"§333. When conveyances of real property not to be recorded.
","A recording officer shall not record or accept for record any conveyance of real property, unless said conveyance in its entirety and the certificate of acknowledgment or proof and the authentication thereof, other than proper names therein which may be in another language provided they are written in English letters or characters, shall be in the English language, or unless such conveyance, certificate of acknowledgment or proof, and the authentication thereof be accompanied by and have attached thereto a translation in the English language duly executed and acknowledged by the person or persons making such conveyance and proved and authenticated, if need be, in the manner required of conveyances for recording in this state, or, unless such conveyance, certificate of acknowledgment or proof, and the authentication thereof be accompanied by and have attached thereto a translation in the English language made by a person duly designated for such purpose by the county judge of the county where it is desired to record such conveyance or a justice of the supreme court and be duly signed, acknowledged and certified under oath or upon affirmation by such person before such judge, to be a true and accurate translation and contain a certification of the designation of such person by such judge.

"
032,"Special Note

","By reason of changes in certain provisions of the Real Property Law, any and all limitations on the authority of a notary public to act as such in any part of the State have been removed; a notary public may now, in addition to administering oaths or taking affidavits anywhere in the State, take acknowledgments and proofs of conveyances anywhere in the State. The need for a certificate of authentication of a county clerk as a prerequisite to recording or use in evidence in this State of the instrument acknowledged or proved has been abolished. The certificate of authentication may possibly be required where the instrument is to be recorded or used in evidence outside the jurisdiction of the State.

Effective September 23, 2012, recording officers (County Clerks) may receive and record digitized paper documents and electronic records affecting real property, including real property transfer documents such as deeds, mortgages, notes and accompanying documents. The Office of Information Technology Services (ITS) has promulgated rules and regulations to support the implementation of electronic recording by local recording officers."
033,"§335. Banking Law
","If the rental fee of any safe deposit box is not paid, or after the termination of the lease for such box, and at least 30 days after giving proper notice to the lessee, the lessor (bank) may, in the presence of a notary public, open the safe deposit box, remove and inventory the contents. The notary public shall then file with the lessor a certificate under seal which states the date of the opening of the safe deposit box, the name of the lessee, and a list of the contents. Within 10 days of the opening of the safe deposit box, a copy of this certificate must be mailed to the lessee at his last known postal address."
034,"Rule 3113. Civil Practice Law and Rules
","This rule authorizes a deposition to be taken before a notary public in a civil proceeding. A deposition is sworn testimony taken out of court, where a notary administers the oath to the witness. The notary's role is to ensure the deponent is properly sworn and to certify the testimony. This is a critical function in litigation and discovery processes."
035,"§11. Domestic Relations Law
","A notary public has no authority to solemnize marriages; nor may a notary public take the acknowledgment of parties and witnesses to a written contract of marriage.

"
036,"§10. Public Officers Law
","Official oaths permit the oath of a public officer to be administered by a notary public. When individuals are appointed to public office, they must take an oath of office. A notary public is authorized to administer this oath, making it official and legally binding. This includes oaths for elected officials, appointed officers, and other public servants."
037,"§484. None but attorneys to practice in the state.
","No natural person shall ask or receive, directly or indirectly, compensation for appearing for a person other than himself as attorney in any court or before any magistrate, or for preparing deeds, mortgages, assignments, discharges, leases or any other instruments affecting real estate, wills, codicils, or any other instrument affecting the disposition of property after death, or decedents? estates, or pleadings of any kind in any action brought before any court of record in this state, or make it a business to practice for another as an attorney in any court or before any magistrate unless he has been regularly admitted to practice, as an attorney or counselor, in the courts of record in the state; but nothing in this section shall apply:

1. to officers of societies for the prevention of cruelty, duly appointed, when exercising the special powers conferred upon such corporations under §1403 of the Not-for-Profit Corporation Law; or

2. to law students who have completed at least 2 semesters of law school or persons who have graduated from a law school, who have taken the examination for admittance to practice law in the courts of record in the state immediately available after graduation from law school, or the examination immediately available after being notified by the board of law examiners that they failed to pass said exam, and who have not been notified by the board of law examiners that they have failed to pass two such examinations, acting under the supervision of a legal aid organization, when such students and persons are acting under a program approved by the appellate division of the supreme court of the department in which the principal office of such organization is located and specifying the extent to which such students and persons may engage in activities prohibited by this statute; or

3. to persons who have graduated from a law school approved pursuant to the rules of the court of appeals for the admission of attorneys and counselors-at-law and who have taken the examination for admission to practice as an attorney and counselor-at-law immediately available after graduation from law school or the examination immediately available after being notified by the board of law examiners that they failed to pass said exam, and who have not been notified by the board of law examiners that they have failed to pass two such examinations, when such persons are acting under the supervision of the state or a subdivision thereof or of any officer or agency of the state or a subdivision thereof, pursuant to a program approved by the appellate division of the supreme court of the department within which such activities are taking place and specifying the extent to which they may engage in activities otherwise prohibited by this statute and those powers of the supervising governmental entity or officer in connection with which they may engage in such activities."
038,"§485. Violation of certain preceding sections a misdemeanor.
","Any person violating the provisions of §§478, 479, 480, 481, 482, 483 or 484, shall be guilty of a misdemeanor."
039,§750. Power of courts to punish for criminal contempts.,"*** B. *** the supreme court has power under this section to punish for a criminal contempt any person who unlawfully practices or assumes to practice law; and a proceeding under this subdivision may be instituted on the court?s own motion or on the motion of any officer charged with the duty of investigating or prosecuting unlawful practice of law, or by any bar association incorporated under the laws of this State.

"
040,"Illegal practice of law by notary public.
","To make it a business to practice as an attorney at law, not being a lawyer, is a crime. ?Counsel and advice, the drawing of agreements, the organization of corporations and preparing papers connected therewith, the drafting of legal documents of all kinds, including wills, are activities which have been long classed as law practice.? (People v. Alfani, 227 NY 334, 339.)

"
041,Wills.,"The execution of wills under the supervision of a notary public acting in effect as a lawyer, ?cannot be too strongly condemned, not only for the reason that it means an invasion of the legal profession, but for the fact that testators thereby run the risk of frustrating their own solemnly declared intentions and rendering worthless maturely considered plans for the disposition of estates whose creation may have been the fruit of lives of industry and self-denial.? (Matter of Flynn, 142 Misc. 7.)"
042,Public Officers Law,"Notary must not act before taking and filing oath of office.
The Public Officers Law (§15) provides that a person who executes any of the functions of a public office without having taken and duly filed the required oath of office, as prescribed by law, is guilty of a misdemeanor. A notary public is a public officer."
043,"§67. Fees of public officers.
","
1. Each public officer upon whom a duty is expressly imposed by law, must execute the same without fee or reward, except where a fee or other compensation therefor is expressly allowed by law.

2. An officer or other person, to whom a fee or other compensation is allowed by law, for any service, shall not charge or receive a greater fee or reward, for that service, than is so allowed.

3. An officer, or other person, shall not demand or receive any fee or compensation, allowed to him by law for any service, unless the service was actually rendered by him; except that an officer may demand in advance his fee, where he is, by law, expressly directed or permitted to require payment thereof, before rendering the service.

4. *** An officer or other person, who violates either of the provisions contained in this section, is liable, in addition to the punishment prescribed by law for the criminal offense, to an action in behalf of the person aggrieved, in which the plaintiff is entitled to treble damages.

A notary public subjects himself to criminal prosecution, civil suit and possible removal by asking or receiving more than the statutory allowance, for administering the ordinary oath in connect with an affidavit. (Op. Atty. Gen. (1917) 12 St. Dept. Rep. 507.)"
044,"§69. Fee for administering certain official oaths prohibited.
","An officer is not entitled to a fee, for administering the oath of office to a member of the legislature, to any military officer, to an inspector of election, clerk of the poll, or to any other public officer or public employee."
045,"Executive Law
","Misconduct by a notary and removal from office.
A notary public who, in the performance of the duties of such office shall practice any fraud or deceit, is guilty of a misdemeanor (Executive Law, §135-a), and may be removed from office. The notary may be removed from office if the notary made a misstatement of a material fact in his application for appointment; for preparing and taking an oath of an affiant to a statement that the notary knew to be false or fraudulent."
046,"§70.00 Sentence of imprisonment for felony.
","2. Maximum term of sentence.
The maximum term of an indeterminate sentence shall be at least three years and the term shall be fixed as follows:
(d) For a class D felony, the term shall be fixed by the court, and shall not exceed 7 years; and
(e) For a class E felony, the term shall be fixed by the court, and shall not exceed 4 years.

"
047,"§70.15 Sentences of imprisonment for misdemeanors and violation.
","1. Class A misdemeanor. A sentence of imprisonment for a class A misdemeanor shall be a definite sentence. When such a sentence is imposed the term shall be fixed by the court, and shall not exceed one year; ***

"
048,"§170.10 Forgery in the second degree.
","A person is guilty of forgery in the second degree when, with intent to defraud, deceive or injure another, he falsely makes, completes or alters a written instrument which is or purports to be, or which is calculated to become or to represent if completed:

1. A deed, will, codicil, contract, assignment, commercial instrument, or other instrument which does or may evidence, create, transfer, terminate or otherwise affect a legal right, interest, obligation or status; or

2. A public record, or an instrument filed or required or authorized by law to be filed in or with a public office or public servant; or

3. A written instrument officially issued or created by a public office, public servant or governmental instrumentality.

Forgery in the second degree is a class D felony."
049,"§175.40 Issuing a false certificate.
","A person is guilty of issuing a false certificate when, being a public servant authorized by law to make or issue official certificates or other official written instruments, and with intent to defraud, deceive or injure another person, he issues such an instrument, or makes the same with intent that it be issued, knowing that it contains a false statement or false information.

Issuing a false certificate is a class E felony.

"
050,"§195.00 Official misconduct.
","A public servant is guilty of official misconduct when, with intent to obtain a benefit or to injure or deprive another person of a benefit:

1. He commits an act relating to his office but constituting an unauthorized exercise of his official functions, knowing that such act is unauthorized; or

2. He knowingly refrains from performing a duty which is imposed upon him by law or is clearly inherent in the nature of his office.

"
051,"Notary must officiate on request.

","The Penal Law (§195.00) provides that an officer before whom an oath or affidavit may be taken is bound to administer the same when requested, and a refusal to do so is a misdemeanor. (People v. Brooks, 1 Den. 457.)"
052,"Perjury.

","One is guilty of perjury if he has stated or given testimony on a material matter, under oath or by affirmation, as to the truth thereof, when he knew the statement or testimony to be false and willfully made."
053,"§182.1 Advertising

","(a) A notary public who is not an attorney licensed to practice law in the State of New York shall not falsely advertise that he or she is an attorney licensed to practice law in the State of New York or in any jurisdiction of the United States by using foreign terms including, but not limited to: abogado, mandatario, procuratore, """""""""""""", """", and avoca.

(b) A notary public who is not an attorney licensed to practice law in the State of New York and who advertises his or her services as a notary public in a language other than English shall include in the advertisement the following disclaimer:
""I am not an attorney licensed to practice law and may not give legal advice about immigration or any other legal matter or accept fees for legal advice.""
The disclaimer shall be printed clearly and conspicuously and shall be made in the same language as the advertisement. The translated disclaimer, in some but not all languages, is as follows:

Simplified Chinese
"""""""""""""""""","""""""""""","""""""""""""""""""""""""""""""""""""""""""",""""""""""""""""""""""""""

Traditional Chinese
"""""""""""""""""""","""""""""""""""","""""""""""""""""""""""""""""""""""""""""""""",""""""""""""""""""""

Spanish
""No estoy facultado para ejercer la profesión de abogado y no puedo brindar asesoría legal sobre inmigración o ningún otro asunto legal como tampoco puedo cobrar honorarios por la asesoría legal.""

Korean
"""" """" """""" "" """" """""" """" """""""" """""", """""""" """" """" """""" """""" """" """""" """""" """" """""""" """" "" """""""" """" """""""" """""" """" "" """""" """""""""""".

Haitian Creole
MWEN PA AVOKA KI GEN LISANS POU PRATIKE LWA E MWEN PA KA BAY KONSÈY LEGAL SOU ZAFÈ IMIGRASYON OSWA NENPÒT KI LÒT ZAFÈ LEGAL OSWA AKSEPTE LAJEN POU BAY KONSÈY LEGAL."
054,"§182.2 Definitions
","(a) ""Notary Public"" or ""Notary"" means an individual who meets the qualifications set forth in section 130 of the Executive Law and has been appointed by the secretary of state pursuant to section 131 of the Executive Law to perform notarial acts in accordance with procedures outlined in article 6 of the Executive Law and this Part.

(b) ""Electronic notary public"" or ""electronic notary"" means a notary public or notary who has registered with the secretary of state the capability of performing electronic notarial acts in accordance with section 135-c of the Executive Law and this Part.

(c) ""Notarial act"" means any official act that a notary public is authorized to perform by law, including, but not limited to:

(1) administering oaths and affirmations;

(2) taking affidavits and depositions;

(3) receiving and certifying acknowledgments or proof of such written instruments as deeds, mortgages, powers of attorney and other instruments in writing;

(4) demanding acceptance or payment of foreign and inland bills of exchange, promissory notes and obligations in writing, and protesting the same for non-acceptance or non-payment, as the case may require;

(5) preparation of a certificate of authenticity in accordance with paragraph (d) of subdivision six of section 135-c of the Executive Law or

(6) an electronic notarial act.

(d) ""Electronic notarial act"" means an official act by a notary public, physically present in the state of New York, on or involving an electronic record and using communication technology authorized by this Part.

(e) ""Record"" means information that is inscribed on a tangible medium or stored in an electronic or other medium and is retrievable in perceivable form. The term ""record"" includes an electronic record.

(f) ""Electronic record"" means information that is created, generated, sent, communicated, received, or stored by electronic means.

(g) ""Identity verification"" means the use of an authentication process by which a notary public validates the identity of any principal and/or individual present for a notarial act.

(h) ""Credential analysis"" means a process or service operating according to the standards adopted in this Part, through which a third-party affirms the validity of government-issued identification through review of public and proprietary data sources.

(i) ""Credential service provider"" means a third party trusted entity that issues or registers subscriber authenticators and issues electronic credentials to subscribers.

(j) ""Identity proofing"" means a process by which a credential service provider collects, validates, and verifies information about a person.

(k) ""Personal appearance"" means presence at a transaction for which a notarial act is required, either physically or electronically, in a manner that meets all requirements imposed by this Part.

(l) ""Communication technology"" means an electronic device or process that:

(1) allows a notary public and a remotely located individual to communicate with each other simultaneously by sight and sound; and

(2) when necessary and consistent with other applicable law, facilitates communication with a remotely located individual who has a vision, hearing, or speech impairment.

(m) ""Electronic signature"" has the same meaning set forth in subdivision 3 of section 302 of the State Technology Law, except that any electronic signature affixed by an electronic notary in the performance of an electronic notarial act must also meet the additional requirements outlined in this Part.

(n) ""Public key infrastructure"" means the architecture, organization, techniques, practices, and procedures that collectively support the implementation and operation of a certificate-based asymmetric or public/private key cryptographic system.

(o) ""Public/private key or asymmetric cryptographic system"" means a system by which two mathematically linked keys are generated, one a publicly available validation key and the other a private key that cannot be deduced from the public key.

(p) ""Principal"" means an individual:

(1) whose signature is reflected on a record that is notarized;

(2) who has taken an oath or affirmation administered by a notary public;

(3) whose signature is reflected on a record that is notarized after the individual has taken an oath or affirmation administered by a notary public; or

(4) for purposes of this Part, any individual who intends to engage in any of these acts."
055,"§182.3 Requirements for Notaries
","(a) All notaries public who wish to perform notarial acts in New York State, must:

(1) satisfy the requirements of sections 130 and 131 of the Executive Law;

(2) obtain satisfactory evidence of the identity of any principal or other individual appearing before the notary in a manner authorized by this Part;

(3) require the personal appearance of all parties to any transaction for which a notarial act is required for the duration of any such transaction, except acts performed as authorized and in conformity with this Part and section 135-c of Executive Law unless a law expressly excludes such authorization;

(4) administer any oath or affirmation as required by the law governing the transaction for which the notarial act is required and, regardless of the county of qualification, include and affix to each instrument requiring an oath or affirmation such notary public?s official number;

(5) disqualify themselves from performing notarial acts for transactions in which the notary is a party or directly and pecuniarily interested in the transaction;

(6) refuse to perform a notarial act when the requirements of this Part are not met, or if the notary is not satisfied that the official record or the presented record evidences the individual?s capacity to act as the representative on the record presented for notarization;

(7) maintain records as required by this Part; and

(8) within five days after a change of name, address, or e-mail address, transmit to the secretary of state a notice of the change, signed with the notary public's official signature.

(b) A notary may refuse to perform a notarial act if the notary public is not satisfied that:

(1) the principal is competent or has the capacity to execute a record; and/or

(2) the principal?s signature is knowingly and voluntarily made."
056,"§182.4 Additional Requirements for Electronic Notaries
","(a) In addition to the requirements set forth in section 182.3 of this Part, all notaries public who wish to perform electronic notarial acts in New York State must:

(1) register the capability to notarize electronically with the secretary of state in compliance with this Part;
(2) use only those vendors or providers who comply with the standards outlined in this Part and any communication or reporting relating to those standards as required by the secretary of state;
(3) be physically located within the boundaries of New York when performing electronic notarial acts;
(4) use a network that permits location detection when performing an electronic notarial act, meaning that no action, process or device shall be used to disguise or hide the actual location from which the electronic notary is performing the electronic notarial act, and that no function on any system or device used by an electronic notary that permits location detection shall be disabled or otherwise interfered with during the performance of an electronic notarial act;
(5) affix a reliable electronic signature to electronic records. An electronic signature is reliable if it is:
(i) unique to the notary public;
(ii) attached or logically associated with an electronic record by use of a digital certificate that utilizes public key infrastructure as defined in this Part and is capable of independent verification;
(iii) retained under the notary's sole control; and
(iv) linked to the data in such a manner that any subsequent alterations to the underlying record are detectable and may invalidate the electronic notarial act;
(6) use their designated electronic signature only for the purpose of performing electronic notarial acts or as otherwise specified in this Part;
(7) ensure the remote online notarial certificate for an electronic notarial act clearly states that the person making the acknowledgement or making the oath appeared using communication technology;
(8) for execution of any instrument in writing, if under applicable law the record may be signed with an electronic signature, confirm that such instrument is the same instrument in which the principal made a statement or on which the principal executed a signature;
(9) if the principal is located outside of the United States, verify, through verbal confirmation made by the principal in the course of the recorded electronic notarial act, that the record or subject of the notarial act:
(i) is to be filed with or relates to a matter before a public official or court, governmental entity, or other entity subject to the jurisdiction of the United States; or
(ii) involves property located in the territorial jurisdiction of the United States or involves a transaction substantially connected with the United States;
(10) In complying with paragraph (8) of subdivision (a) of section 182.3 of this Part ensure that the notice of change is electronically transmitted to the secretary of state, signed with the notary public's designated electronic signature;
(11) for any update to the information required to be submitted by a notary public to register the capability to perform an electronic notarial act, make such update prior to performance of any electronic notarial act; and

(b) The notary public shall not disclose any access information used to affix the electronic notary?s signature and seal except when requested by the secretary of state or a designee, or judicial subpoena, and with reasonable precautions, electronic document preparation and transmission vendors. Control of security aspects such as but not limited to passwords, token devices, biometrics, PINS, phrases, software on protected hardware shall remain under the sole control of the notary public."
057,"§182.5 Satisfactory Evidence of Identity
","(a) For any individual signing a document who makes a personal appearance before a notary public, including but not limited to any principal seeking a notarial act, and any witness thereto, the notary must obtain satisfactory evidence of the identity of each such individual that complies with the requirements of this Part.

(b) For any individual signing a document who physically appears before a notary public, satisfactory evidence of identity requires identity verification through:
(1) presentation of the back and front of an identification card issued by a governmental agency provided the card:
(i) is valid and current;
(ii) contains the photographic image of the bearer;
(iii) has an accurate physical description of the bearer, if applicable; and
(iv) includes the signature of the bearer;
(2) at least two current documents issued by an institution, business entity, or federal or state government with at least the individual's signature;
(3) attestation by the notary that the individual is personally known to them;
(4) the oath or affirmation of a witness who is personally known to both the individual and notary; or
(5) the oath or affirmation of two witnesses who know the individual personally and provide identification that meets the requirements of paragraph (1) of subdivision (b) of this section.

(c) For any individual signing a document who appears before an electronic notary public using communication technology, and who is not personally known to the notary public, satisfactory evidence of identity requires all of the following:
(1) identity verification as outlined in subdivision (b) of this section, utilizing communication technology that meets the requirements set forth in this Part;
(2) credential analysis that meets the requirements set forth in this Part; and
(3) identity proofing by a third-party service provider that meets the requirements set forth in this Part.

(d) Provided that all other requirements of this Part are met, attestation by an electronic notary public that an individual appearing through communication technology is personally known to them is satisfactory evidence of identity for electronic notarial acts."
058,"§182.6 Credential Analysis
","Credential analysis must conform to all standards set forth in this section.

(a) Credential analysis must be performed by a third-party service provider who has provided evidence to the online notary public of the provider?s ability to satisfy the requirements set forth in this rule.

(b) Credential analysis must utilize public or private data sources to confirm the validity of an identification credential and must, at a minimum:

(1) use automated software processes to aid the online notary public in verifying the identity of a remotely located individual;

(2) ensure that the identification credential passes an authenticity test, consistent with sound commercial practices that:

(i) uses technologies consistent with the requirements of this Part to confirm the integrity of visual, physical, or cryptographic security features;

(ii) uses technologies consistent with the requirements of this Part to confirm that the identification credential is not fraudulent or inappropriately modified;

(iii) uses information held or published by the issuing source or an authoritative source, as available, to confirm the validity of identification credential details; and

(iv) provides output of the authenticity test to the online notary public."
059,"§182.7 Identity Proofing
","(a) Identity proofing must meet, at minimum, the Identity Assurance Level 2 standard as outlined in the Digital Identity Guidelines of the National Institute of Standards and Technology, as referenced in subdivision (b) of this section, or any industry accepted standard that is at least as secure, or more secure, than that standard.

(b) Incorporation by reference. The Identity Assurance Level 2 standard, as outlined in the Digital Identity Guidelines of the National Institute of Standards and Technology, United States Department of Commerce, document SP 800-63-3, Revision 3, dated June 2017 and includes updates as of 03-02-2020, is hereby incorporated by reference. This publication is available free of charge from:

https://doi.org/10.6028/NIST.SP.800-63-3

Copies of said publication may be obtained from the publisher at the following address:
National Institute of Standards and Technology
Attn: Applied Cybersecurity Division, Information Technology Laboratory
100 Bureau Drive (Mail Stop 2000) Gaithersburg, MD 20899-2000
Email: dig-comments@nist.gov

Copies of said publication are available for public inspection and copying at the Office of the New York State Department of State located at One Commerce Plaza, 99 Washington Avenue, Albany, NY 12231-0001.

"
060,"§182.8 Communication Technology
","(a) The communication technology used to perform electronic notarial acts must:

1. permit sufficient audio and visual clarity to enable the notary and the person(s) for whom a notarial act is requested to see and speak to each other simultaneously through live, real-time transmission throughout the duration of the notarial act, through and including identity verification, identity proofing, the signature of any parties present during the transaction and the application of the notary?s signature and seal without interruption;

2. permit sufficient visual clarity to enable the notary to view, read, and capture the front and back of any identification card presented as verification of identity;

3. include a signal transmission secure from interception through lawful means by anyone other than the parties to the notarial act;

4. include a process of reproduction that does not permit additions, deletions, or changes without leaving a record of such additions, deletions, or changes;

5. provide some manner of ensuring that the electronic record that is presented for electronic notarization is the same record electronically signed by the principal; and

6. permit recording and archiving of the audio-video communication session as required by subdivision (b) of this section.

(b) The electronic notary shall keep a copy of the recording of the video and audio conference that includes at minimum:

1. the complete notarial act, including the verification required by paragraph 9 of subdivision (a) of section 182.4 of this Part;

2. any signatures required for completion of the notarial act; and

3. a verbal description of the type of identification used.

The recording shall not include the discussion or display of any personally identifiable information, and must be maintained for a period of at least ten years from the date of transaction."
061,"§182.9 Recordkeeping and Reporting
","(a) In addition to any required video and audio conference recording, all notaries public must maintain records sufficient to document compliance with the requirements of sections 130 and 135-c of the Executive Law and the duties and responsibilities of a notary public and/or electronic notary public as outlined in this Part. Record storage may be made through a third party if safeguarded through a password or other secure means of authentication or access. Such records shall be made contemporaneously with the performance of the notarial act and must include:

1. the date, approximate time, and type of notarial acts performed;

2. the name and address of any individuals for whom a notarial act was performed;

3. the number and type of notarial services provided;

4. the type of credential used to identify the principal, including, for verification made in accordance with paragraphs (4) or (5) of subdivision (b) of section 182.5, the names of the witnesses and, if applicable, the type of credential used;

5. the verification procedures used for any personal appearance before the notary public; and

6. for electronic notarial acts, identification of the communication technology and, if not included as part of the communication technology used by the electronic notary, the certification authority and verification providers used.

(b) Any records maintained by a notary public pursuant to this Part must be retained by the notary public for at least ten years.

(c) Any records retained by a notary public pursuant to this Part must be capable of being produced to the secretary of state and others as necessary in relation to the performance of the notary public?s obligations pursuant to the Executive Law and this Part."
062,"§182.10 Applications, Registrations and Renewals
","(a) Prior to performing any notarial acts, a notary public must be appointed and commissioned by the secretary of state for a four-year term in accordance with the requirements and procedures set forth in Executive Law sections 130 and 131 and must provide all information required by the application form prescribed by the secretary of state.

(b) No commissioned notary public may perform electronic notarial acts until they have registered the capability to notarize electronically on a form prescribed the secretary of state, including, in addition to any other information prescribed by the secretary of state, the following information:

(1) the notary""s name as currently commissioned and complete mailing address;
(2) the expiration date of the notary""s commission and signature of the commissioned notary;
(3) the notary""s email address;
(4) the description of the electronic technology or technologies to be used in attaching the notary""s electronic signature to the electronic record, which may be effectuated by registration of vendor account information from a vendor who meets the requirements of this Part, in the manner required by the department of state;
(5) an exemplar of the notary""s electronic signature, which shall be provided through and in the manner required by the department of state""s registration system using the notary""s selected signature vendor and shall contain the notary""s name and any necessary instructions, authorizations, or techniques that allow the notary""s electronic signature to be read and verified.

(c) A notary public may apply for reappointment within 90 days of expiration of their commission, provided that the notary public continues to meet the requirements set forth in sections 130 and 131 of the Executive Law and this Part.

(d) When any notary public who has registered to perform electronic notarial acts applies for reappointment, the electronic notary public must provide verification of the accuracy of all information on file with the secretary of state and affirm that such notary public is otherwise in compliance with all requirements of this Part.

(e) Any notary public who has failed to comply with any of the requirements of this Part relating to notarial or electronic notarial acts shall not be eligible for reappointment.

(f) All applications for appointment and reappointment of notaries public, and all registrations of capability to perform electronic notarial acts, shall be in the form and manner prescribed by the secretary of state and provided through the department of state""s division of licensing."
063,"§182.11 Fees
","(a) Applicants for a notary public commission must submit a non-refundable application fee of sixty dollars, which fee shall be used and distributed in accordance with section 131 of the Executive Law.
(b) Registrants for electronic notarial acts must submit a non-refundable registration fee of sixty dollars to the secretary of state with their registration.
(c) Notaries public who wish to renew their notary public commission must pay a non-refundable fee of sixty dollars, which fee shall be used and distributed in accordance with section 131 of the Executive Law.
(d) Notary Public applicants who must take a written exam must submit a fee of fifteen dollars for each examination taken, payable on the date of the examination.
(e) The fee for change requests and Duplicate License/Registration Requests shall be ten dollars, payable to the secretary of state at the time of submission of the request.
(f) A notary public shall be entitled to a fee for notarial acts as set forth in section 136 of the Executive Law.
(g) An electronic notary public shall be entitled to a fee of twenty-five dollars for each electronic notarial act performed, which shall be inclusive of all costs incurred by the notary public.
(h) All application, renewal, and registration fees required to be paid pursuant to this section shall be transmitted in a manner prescribed by the secretary of state."
064,Acknowledgment,"A formal declaration before a duly authorized officer by a person who has executed an instrument that such execution is his act and deed.
Technically, an acknowledgment is the declaration of a person described in and who has executed a written instrument, that he executed the same.
As commonly used, the term means the certificate of an officer, duly empowered to take an acknowledgment or proof of the conveyance of real property, that
on a specified date before me came ....................., to me known to be the individual described in and who executed the foregoing instrument and acknowledged that he executed the same.
The purposes of the law respecting acknowledgments are not only to promote the security of land titles and to prevent frauds in conveyancing, but to furnish proof of the due execution of conveyances (Armstrong v. Combs, 15 App. Div. 246) so as to permit the document to be given in evidence, without further proof of its execution, and make it a recordable instrument."
065,The Real Property Law prescribes:,"§303. Requisites of acknowledgments.
An acknowledgment must not be taken by any officer unless he knows or has satisfactory evidence, that the person making it is the person described in and who executed such instrument.

The thing to be known is the identity of the person making the acknowledgment with the person described in the instrument and the person who executed the same.
This knowledge must be possessed by the notary (Gross v. Rowley, 147 App. Div. 529), and a notary must not take an acknowledgment unless the notary knows or has proof that the person making it is the person described in and who executed the instrument (People v. Kempner, 49 App. Div. 121).
It is not essential that the person who executed the instrument sign his name in the presence of the notary.

Taking acknowledgments over the telephone is illegal and a notary public is guilty of a misdemeanor in so acting.
In the certificate of acknowledgment, a notary public declares: On this ....... day of ............ 20 ......., before me came ............ to me known, etc.
Unless the person purporting to have made the acknowledgment actually and personally appeared before the notary on the day specified, the notarys certificate that he so came is palpably false and fraudulent. (Matter of Brooklyn Bar Assoc., 225 App. Div. 680.)"
